Department,Job ,Job Description 
IT Delivery Services (Noah),SOFTWARE DEVELOPER,"API, Splunk, Script, testing, design, agile, performance, quality assurance, system integration, collaboration, development, 3 years"
,Associative System Administator,"disk space management, system logs, system, backups, engineering, IT, 1 year, business operations, administration"
,SOFTWARE/SYS ENGINEER,"complex, infrastructure, maintain, networks, applications, engineering, documentation, testing, coding, IT, project planning, 8 years, software systems, systems, communication, collaboration"
,Infrastructure Developer,"agile, infrastructure, low complexity, complexity, software installation, maintenance, support, system logs, backups, test, debug, code, collaboration, communication, security, source code, test scripts, quality assurance, troubleshooting, root cause analysis, incremental delivery, 3+ years"
,Scrum Master,"agile, scrum, coach, challenges, communication, collaboration, barriers, team support, cross-training, organization, adaption, planning, productivity, cooperation, 4 years, resolve, conflict, problem solver, "
,"Mgr, Systems Administration","manage, organization, communication, direct, hire, counsel, team, develop, reccomendation, plan, strategy, problem solving, conflict, conflict resolution, business relations, business priority, financial planning, 8 years, mainframe, operating, server, presentation, negotiation"
Application Environments (Raj),Sr Database Admininstrator,"data management, database design, performance tuning, backup, recovery, security, disaster recovery,  DBA, lead, training, SQL, computer science, bachelors, 5 years, DBMS, OS, database administrator, HA "
,Sr Infrastructure Developer,"debugging, high level, review, quality, assurance, 5 years, bachelors, masters, technical, business, computer, communication, presentation, merge, infrastructure, cloud, architecture, agile, collaboration"
,Princ Infrastructure Developer,"complex, problem solving, directing, monitoring, 8 years, training, logs, lead agile, agile, software engineering, mentorship, system analysis, design, coding, testing, debugging, documentation"
,Architect,"leadership, technology, enterprise methodologies, 10 years, develop new product, technical management, product owner, business, architect, architecture,  software, operations, new technology, emerging"
,Scrum Master II,"scrum, master, scrum master, agile, planning, plan, project, delivery, quality, organization, presentation, Computer science, 5 years, softwar, mentor"
End User Technology (Cassie),SOFTWARE/SYS ENGINEER,"utility programs, position control language, macros, subroutines, control module, design, coding, benchmark testing, debugging, comunication, negotiation, 3 years"
,PRINC SYSTEMS ADMINISTRATOR,"systems administration, operational support, problem resolution, large systems, consultant, leadership, complex systems, forecasts, recommends upgrades, expansion, reconfiguration, troubleshoot, training, installation, maintenance, management, restore, guidance, teamwork, scope, communication, telecomunication, mainframe, networking, judgement, negotiation, presentation, strategies, 7 years, server, midrange, messaging"
,TECHN INFRASTRUCTURE DEVELOPER,"engineering, leadership, design, development, information technology, solutions, multi-site, multi domain activities, integration, architectural designs, maintainability, flexibility, IT concepts, strategies, methodologies, emerging technologies, infrastructure, cloud based platforms, development tools,  software engineering languages, layered solutions, shared software concepts, product features, global business, technology trends, financial services industry, negotiation, consensus, influencing, facilitation, adaptability, oral, written, 10 years"
